Sample,True_Comp,1,2,3,4,5
MHC3828,9.44,27.484460702225192,16.706311237728841,17.508686315406031,12.504581480378739,14.96656206992899
MHC3828,9.44,24.483843684983984,13.013699135447091,11.677235459642809,3.0543683757186173,6.3938828459901345
MHC3828,9.44,27.252264868120459,16.121202546113331,18.205183421957827,14.053981152288223,16.259552237389201
MHC3828,9.44,25.986220063696599,14.899710416643813,12.159778727723513,2.2463640880001279,5.9071966662995337
MHC3828,9.44,28.163302946989429,17.279392360461529,18.158346428788647,13.478007211361948,15.986484224312754
MO12,49.87,45.360765437002321,50.243381508573094,53.299646398299629,52.112050740702841,53.174409203827011
MO12,49.87,45.009020956513382,51.391141924698388,51.488129176751805,50.247662374495363,51.44457206139105
MO12,49.87,48.006195612131847,51.971418743235795,48.800450796794024,47.723887433190249,47.837738055136732
MO12,49.87,46.342326803252107,50.642468331751346,51.370231160752475,50.469622964961303,50.687825172212996
MO12,49.87,47.2923584860457,52.410708507745269,53.062123303319375,51.161168649688364,52.067362578148767
MO14,46.85,42.417747921302393,44.762608008033105,46.768566342444309,47.87012370226239,48.807449447363219
MO14,46.85,43.85711316122034,45.931049079584426,45.137615342318263,46.41897840554514,47.058124814506598
MO14,46.85,45.032649856050327,46.919390494020263,44.76126964763111,46.187982652291893,45.917737501696941
MO14,46.85,39.856352160898069,42.68349814362314,44.80968060042099,45.230454408753673,46.169668892759034
MO14,46.85,41.362692159881668,44.575661352954974,45.934024420921432,45.761261963132654,47.005629315494737
MO15,40.55,47.643288192096399,50.350332591219171,43.159058694454373,44.046778189784007,44.236937179277618
MO15,40.55,46.864081433777841,51.213636664642102,46.430274985067641,47.384912012300397,48.374006491343366
MO15,40.55,46.479150016633596,50.734698568504946,45.692792544594184,46.611055617017513,48.037915207684378
MO15,40.55,47.435675033931943,52.891367794722285,47.332280598381871,47.367309825241662,47.920632372231246
MO15,40.55,46.229135398048001,50.791289851679565,46.427471894775529,47.677784267894822,49.081339023785837
MO7,40.79,42.840464598795563,43.35014628848721,40.218572391852639,41.43459378142407,41.559496882938554
MO7,40.79,43.974092322228188,45.420440417415008,41.982605443433442,43.046581265557236,43.79547996916245
MO7,40.79,43.300498770461587,43.778515881260901,39.897582054843625,41.575088128117294,42.395938451198759
MO7,40.79,43.620026468196116,44.185883860033009,40.365748419801989,41.747612910564939,42.575885774331439
MO7,40.79,45.654263148072999,46.378130512613545,44.144606630638165,43.307854480697046,43.69047289425535
MOPPIN,50.78,44.295837856384708,46.71723942995267,43.575085122260631,44.817993545298265,44.77037862240109
MOPPIN,50.78,43.231359953107969,46.555759412335959,46.07981457444771,46.281031759897942,46.606447298201665
MOPPIN,50.78,44.93141992124351,47.604869346251128,45.81746028194226,47.982386367049074,47.790598897981475
