Sample,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GBW07113,72.78,71.226676913449126,72.821007754784375,72.254629639996466,73.582315620365094,75.126802620959438,72.822053429255035,73.907626912041621,72.318872259160344,71.607382685903062,71.180483593680108,70.981468263425924,73.600106069535755,73.521330126419969,73.190310549043318,73.266410264938997,72.47205391041318,72.283938868674227,72.111511815564668,71.65130247161251,72.473492821620368
GBW07113,72.78,71.485046435489338,73.017584599307895,72.846691150194573,74.354932228402092,75.566928283652928,73.162315473517637,74.30739639381963,72.901970997105693,72.293830598274582,71.832174348890021,71.603807923871415,73.827172021901134,73.711346832707918,73.328549647354649,73.348646894160609,72.505507600172095,72.434953072490813,72.370196078413414,71.924306326246352,72.736395851242705
GBW07113,72.78,72.547416592430963,73.998299502783112,73.873014805766701,74.930210811221002,76.295756758367347,73.916371928201613,75.15984021747883,73.846631739398489,73.25345449831643,72.954160473048688,72.682922247287522,74.854799367069333,74.609123003652186,74.176109141530773,74.095262628434,73.001196874497012,72.954498641917382,72.840069995277887,72.454195223872375,73.464112289983987
GBW07113,72.78,71.314189277822265,72.745831057960388,72.642451831071284,74.037364775064191,75.321723691730369,73.052105295648033,74.265104315371687,72.729129477806225,72.494023341210934,72.143974241309635,71.87175501940699,73.915080368189734,73.73183595662384,73.35075742916564,73.36092205666732,72.724511618764183,72.884569955351566,73.018836344295309,72.714633055334517,73.330420866588511
GBW07113,72.78,71.480124551121548,73.1144484881588,72.574990398925536,73.741144148869026,74.922380283043736,72.500669978739069,73.693245946964467,72.831122303199507,72.214140487278115,71.865569906732688,71.71337430383079,73.872145665961156,73.62844031663073,73.208459298456503,73.235451249049092,72.390350432247999,72.500711057189577,72.351937549138725,71.957215606792005,72.973402469689191
GBW07305,56.44,62.866648986388768,63.627167498457261,58.095606121897454,60.647849921609783,57.543253906557766,57.038653714936927,55.891457962892481,55.632740232036724,55.650919499996704,54.621743515168944,55.084194466149306,56.217392126038362,55.06199576790042,54.302425391610875,54.127977041607508,55.564199583668199,55.953789007807792,56.10587091793866,56.674898207673657,56.896179370985934
GBW07305,56.44,62.704365522749079,63.59325750496923,57.888978912252114,60.652734208089328,57.396609281297799,56.914605697598375,55.692006672312907,55.2990207569392,55.34765528754631,54.256703787368409,54.890726088221285,56.336942664927065,55.403074345034092,54.651057566225802,54.422747424879745,55.859176196553754,56.18507170156051,56.441803171392856,56.941690440430008,57.121402945733884
GBW07305,56.44,62.962378728979601,63.764738484319565,57.557069756655174,60.068085754985809,56.94548652358931,56.561915048441769,55.410931492577575,54.679712124456124,54.546095826653925,53.312101048445086,54.161673250846249,55.341552590640248,54.219832253121652,53.548622452078874,53.198965014311895,54.431652100057924,54.69214789897589,54.882732577778746,55.53955505110541,55.869690751003318
GBW07305,56.44,62.956655412225693,63.888567101578971,58.280553808850726,61.041347010813453,57.805754217342582,57.38027369564967,56.104689209814907,55.594149529377354,55.716996213561586,54.525987650125558,54.98953174015984,56.174905271968626,55.102738573867001,54.31054295267073,54.038917206030533,55.515373984793968,55.927352079279189,56.149976536757734,56.682073250474161,56.757786558281346
GBW07305,56.44,62.891475426203648,63.648735053784385,57.903610527434715,60.531728736026118,57.212500018480107,56.753723328915953,55.487956992730346,55.123585856929701,55.330947257222071,54.19978051085625,54.656189194774164,55.737373287495643,54.720371166077683,53.942520018466539,53.697176973596406,55.27432993787351,55.682269747808462,56.006112025243524,56.644739556540408,56.914993988167708
GBW07306,61.24,58.47999806049048,60.507751070879984,59.912493820042698,61.365353933532575,60.355455679925839,60.478966020956918,60.886114977369601,61.134850126898108,60.615839094109958,60.994288594172765,61.011540657642428,61.96838959692235,61.101005327605286,60.422550930439982,60.488481723391651,60.844896344113479,60.732870374020465,60.476355297278864,61.363126198552706,61.114246340027329
